date, avg (temperature), max (temperature), min (temperature), avg (humidity), max (humidity), min (humidity), power, label
2021-07-01, 26.28, 30.6, 21.4, 70.91, 90, 50, 207.27, 1
2021-07-02, 27.17, 31.7, 23.6, 64.0, 78, 48, 180.59, 0
2021-07-03, 22.95, 25.4, 19.6, 77.74, 100, 64, 207.58, 0
2021-07-04, 21.35, 23.1, 20.1, 97.35, 100, 92, 284.68, 0
2021-07-05, 23.18, 26.7, 20.1, 80.65, 93, 66, 253.76, 0
2021-07-06, 25.23, 29.7, 21.0, 74.09, 92, 56, 381.56, 1
2021-07-07, 26.39, 29.0, 23.9, 77.17, 91, 67, 109.33, 0
2021-07-08, 26.0, 29.8, 23.9, 83.13, 95, 67, 321.2, 1
2021-07-09, 25.48, 28.9, 23.6, 77.43, 85, 63, 200.97, 0
2021-07-10, 25.89, 28.9, 23.2, 78.61, 88, 65, 205.74, 0
2021-07-11, 25.76, 27.5, 24.1, 86.57, 92, 82, 239.05, 0
2021-07-12, 28.02, 32.3, 23.8, 75.35, 90, 61, 280.65, 1
2021-07-13, 28.73, 31.2, 26.3, 75.96, 87, 64, 209.48, 1
2021-07-14, 29.74, 33.1, 26.1, 71.26, 89, 57, 298.0, 1
2021-07-15, 29.38, 33.9, 26.1, 70.87, 87, 54, 328.98, 1
2021-07-16, 28.81, 35.0, 24.2, 67.78, 86, 48, 195.95, 0
2021-07-17, 28.91, 32.8, 24.7, 63.48, 80, 51, 230.54, 1
2021-07-18, 29.69, 34.0, 25.7, 61.96, 79, 46, 127.74, 0
2021-07-19, 26.8, 30.2, 24.1, 77.78, 94, 63, 200.17, 1
2021-07-20, 27.74, 31.7, 23.7, 76.7, 93, 60, 208.02, 1
2021-07-21, 30.45, 35.1, 25.3, 64.83, 89, 41, 239.63, 1
2021-07-22, 31.23, 35.7, 26.6, 59.65, 78, 40, 290.27, 1
2021-07-23, 31.31, 35.7, 27.2, 61.09, 73, 44, 287.92, 1
2021-07-24, 31.69, 36.3, 26.9, 58.3, 75, 38, 241.07, 1
2021-07-25, 31.56, 35.7, 27.2, 55.74, 73, 40, 251.93, 1
2021-07-26, 31.33, 35.4, 27.5, 54.91, 71, 42, 175.79, 0
2021-07-27, 31.07, 35.2, 27.9, 60.13, 71, 45, 251.79, 1
2021-07-28, 30.33, 34.5, 27.1, 66.96, 76, 52, 229.82, 1
2021-07-29, 29.78, 33.2, 27.1, 70.04, 84, 58, 220.86, 1
2021-07-30, 30.44, 35.2, 25.8, 62.83, 80, 46, 222.36, 1
2021-07-31, 29.81, 34.2, 26.8, 70.52, 88, 53, 277.12, 1
2021-08-01, 27.28, 28.7, 25.3, 81.48, 95, 75, 336.16, 0
2021-08-02, 26.49, 28.5, 25.2, 83.09, 95, 70, 346.62, 0
2021-08-03, 27.77, 31.3, 24.2, 77.35, 92, 62, 357.17, 1
2021-08-04, 29.09, 32.8, 26.4, 70.35, 87, 55, 385.72, 1
2021-08-05, 29.33, 33.5, 25.6, 67.87, 83, 54, 341.63, 1
2021-08-06, 28.21, 31.9, 26.2, 68.83, 80, 58, 417.53, 1
2021-08-07, 27.93, 32.0, 23.4, 66.0, 83, 48, 499.36, 1
2021-08-08, 26.8, 32.0, 24.5, 75.61, 86, 59, 414.78, 1
2021-08-09, 28.28, 33.6, 23.3, 62.83, 82, 44, 345.36, 1
2021-08-10, 27.8, 31.7, 24.3, 62.17, 70, 48, 253.14, 1
2021-08-11, 27.4, 31.4, 24.2, 70.09, 85, 52, 322.87, 1
2021-08-12, 26.97, 31.1, 24.1, 67.74, 83, 52, 403.5, 1
2021-08-13, 26.51, 30.0, 23.4, 70.83, 84, 58, 310.42, 1
2021-08-14, 26.27, 30.2, 23.5, 64.35, 75, 53, 322.66, 0
2021-08-15, 26.95, 32.1, 21.7, 59.35, 76, 44, 367.06, 1
2021-08-16, 27.35, 32.7, 22.6, 60.96, 76, 41, 346.66, 1
2021-08-17, 26.22, 31.0, 22.2, 63.52, 89, 48, 346.39, 1
2021-08-18, 24.37, 30.3, 20.7, 70.7, 92, 49, 311.98, 1
2021-08-19, 25.87, 31.0, 21.0, 57.87, 70, 44, 344.88, 0
2021-08-20, 26.81, 30.3, 22.7, 61.96, 73, 52, 366.29, 0
2021-08-21, 23.74, 25.5, 21.4, 87.48, 99, 76, 348.64, 0
2021-08-22, 24.49, 26.6, 22.5, 81.52, 93, 69, 244.62, 0
2021-08-23, 22.55, 24.0, 21.0, 89.3, 95, 81, 358.26, 0
2021-08-24, 23.22, 26.4, 21.1, 94.04, 97, 90, 249.62, 0
2021-08-25, 24.92, 27.2, 23.6, 86.22, 96, 74, 311.2, 0
2021-08-26, 25.35, 27.7, 22.9, 85.39, 93, 76, 322.93, 0
2021-08-27, 22.8, 25.2, 20.5, 83.61, 91, 73, 246.35, 0
2021-08-28, 23.4, 27.9, 19.8, 80.61, 94, 59, 239.25, 0
2021-08-29, 23.78, 26.1, 22.0, 81.83, 93, 68, 254.9, 0
2021-08-30, 24.27, 27.6, 21.3, 77.96, 91, 60, 353.97, 0
2021-08-31, 20.6, 23.0, 18.1, 91.87, 100, 80, 311.93, 0
2021-09-01, 21.23, 23.7, 18.5, 84.48, 99, 72, 264.52, 0
2021-09-02, 23.4, 26.7, 20.7, 70.13, 79, 59, 228.61, 0
2021-09-03, 24.59, 29.0, 20.6, 60.91, 85, 40, 192.72, 0
2021-09-04, 23.2, 28.5, 18.6, 57.43, 70, 45, 123.35, 0
2021-09-05, 23.04, 26.9, 19.4, 60.39, 70, 53, 177.11, 0
2021-09-06, 22.58, 26.3, 18.5, 67.3, 93, 52, 227.97, 0
2021-09-07, 19.46, 20.9, 17.6, 98.17, 100, 96, 217.09, 0
2021-09-08, 22.33, 26.7, 19.0, 81.43, 98, 60, 252.95, 0
2021-09-09, 23.54, 29.0, 19.2, 76.61, 94, 48, 224.93, 1
2021-09-10, 23.66, 28.8, 19.5, 75.52, 90, 50, 196.14, 0
2021-09-11, 24.01, 29.3, 20.0, 73.13, 92, 50, 219.41, 1
2021-09-12, 24.34, 29.8, 19.4, 64.0, 81, 42, 224.92, 0
2021-09-13, 24.72, 30.2, 20.9, 67.48, 81, 52, 166.68, 0
2021-09-14, 24.71, 29.4, 20.0, 63.35, 86, 43, 268.57, 0
2021-09-15, 23.76, 28.8, 19.7, 57.48, 73, 45, 257.55, 0
2021-09-16, 22.86, 27.1, 18.1, 60.57, 75, 47, 236.33, 0
2021-09-17, 23.59, 27.9, 20.6, 61.7, 72, 47, 187.65, 0
2021-09-18, 23.83, 29.3, 19.0, 64.39, 80, 46, 198.21, 0
2021-09-19, 23.86, 27.5, 21.2, 63.74, 77, 51, 249.11, 0
2021-09-20, 23.56, 28.0, 19.1, 63.57, 81, 50, 157.64, 0
2021-09-21, 22.39, 26.1, 19.5, 83.09, 98, 62, 191.64, 0
2021-09-22, 20.29, 24.1, 16.8, 79.7, 98, 58, 266.21, 0
2021-09-23, 20.85, 25.6, 16.9, 67.13, 86, 52, 169.5, 0
2021-09-24, 21.82, 26.8, 16.8, 67.57, 88, 48, 240.17, 0
2021-09-25, 21.09, 23.0, 18.7, 72.74, 79, 67, 237.6, 0
2021-09-26, 22.67, 27.2, 18.5, 63.96, 80, 51, 240.31, 0
2021-09-27, 21.52, 24.6, 18.7, 65.52, 73, 55, 254.19, 0
2021-09-28, 21.49, 24.3, 19.6, 73.7, 94, 56, 277.83, 0
2021-09-29, 20.32, 21.2, 18.3, 93.65, 98, 87, 278.73, 0
2021-09-30, 20.37, 25.8, 16.1, 83.78, 99, 63, 248.51, 0
2021-10-01, 21.34, 27.2, 17.0, 74.91, 95, 45, 243.99, 0
2021-10-02, 20.64, 26.2, 16.5, 76.96, 95, 53, 212.47, 0
2021-10-03, 22.31, 28.7, 17.1, 70.39, 95, 40, 204.47, 0
2021-10-04, 22.62, 25.5, 19.3, 79.7, 92, 74, 206.96, 0
2021-10-05, 23.84, 26.4, 22.1, 82.0, 90, 66, 193.44, 0
2021-10-06, 18.92, 21.5, 18.0, 92.22, 99, 84, 190.09, 0
2021-10-07, 19.56, 21.8, 18.2, 85.3, 95, 75, 173.46, 0
2021-10-08, 18.7, 20.0, 17.5, 91.26, 94, 87, 127.59, 0
2021-10-09, 20.85, 24.0, 18.6, 83.17, 91, 73, 186.33, 0
2021-10-10, 20.22, 24.1, 15.1, 89.35, 95, 81, 202.66, 0
2021-10-11, 15.09, 17.5, 12.6, 79.17, 90, 68, 229.75, 0
2021-10-12, 18.01, 21.3, 15.8, 66.7, 78, 55, 168.05, 0
2021-10-13, 19.57, 25.0, 14.9, 65.87, 75, 52, 169.41, 0
2021-10-14, 19.82, 23.8, 17.4, 73.57, 86, 54, 221.05, 0
2021-10-15, 19.07, 21.4, 17.0, 74.48, 85, 58, 196.05, 0
2021-10-16, 11.39, 17.5, 4.4, 48.17, 64, 32, 210.43, 0
2021-10-17, 5.64, 10.6, 1.3, 37.91, 47, 27, 267.31, 0
2021-10-18, 9.29, 15.7, 2.9, 57.43, 91, 41, 204.73, 0
2021-10-19, 11.25, 14.5, 7.7, 74.09, 94, 49, 211.92, 0
2021-10-20, 9.61, 15.5, 4.8, 64.35, 85, 38, 243.6, 0
2021-10-21, 9.81, 15.8, 5.0, 63.26, 86, 40, 161.3, 0
2021-10-22, 10.9, 17.2, 5.2, 59.17, 85, 34, 220.99, 0
2021-10-23, 11.48, 18.3, 5.9, 57.04, 80, 30, 185.58, 0
2021-10-24, 11.34, 17.6, 6.1, 63.83, 84, 38, 162.65, 0
2021-10-25, 11.71, 17.3, 6.4, 64.3, 88, 39, 166.08, 0
2021-10-26, 12.83, 18.7, 7.7, 73.78, 90, 50, 173.17, 0
2021-10-27, 13.69, 18.0, 10.3, 64.52, 92, 34, 173.32, 0
2021-10-28, 12.73, 19.4, 7.2, 54.13, 74, 32, 190.18, 0
2021-10-29, 14.62, 20.5, 10.6, 54.57, 66, 37, 219.82, 0
2021-10-30, 13.87, 17.6, 11.1, 61.7, 70, 49, 264.07, 0
2021-10-31, 14.14, 19.9, 9.2, 71.91, 88, 48, 206.03, 0
2021-11-01, 13.03, 16.8, 10.4, 77.09, 94, 53, 213.77, 0
2021-11-02, 11.6, 16.7, 8.0, 75.57, 96, 52, 203.93, 0
2021-11-03, 11.99, 17.0, 7.7, 70.35, 89, 37, 233.73, 0
2021-11-04, 12.26, 16.0, 8.6, 79.65, 92, 65, 193.17, 0
2021-11-05, 13.04, 20.2, 7.9, 69.26, 96, 29, 197.07, 0
2021-11-06, 14.16, 21.1, 8.9, 61.17, 82, 35, 100.57, 0
2021-11-07, 15.13, 20.9, 9.7, 57.74, 77, 42, 228.14, 0
2021-11-08, 9.23, 15.4, 4.7, 80.87, 93, 60, 126.67, 0
2021-11-09, 5.01, 6.4, 3.1, 81.74, 90, 73, 143.77, 0
2021-11-10, 4.06, 7.1, 0.7, 72.96, 90, 55, 130.62, 0
2021-11-11, 5.43, 9.1, 2.3, 61.04, 81, 51, 216.23, 0
2021-11-12, 4.59, 8.2, 1.5, 55.96, 74, 40, 189.39, 0
2021-11-13, 6.92, 12.9, 0.6, 65.26, 79, 50, 187.34, 0
2021-11-14, 11.33, 16.2, 7.9, 68.83, 83, 39, 206.48, 0
2021-11-15, 10.21, 15.7, 5.9, 71.26, 94, 37, 180.7, 0
2021-11-16, 8.71, 13.3, 4.6, 66.22, 91, 35, 139.35, 0
2021-11-17, 7.41, 12.2, 2.7, 63.91, 87, 37, 179.7, 0
2021-11-18, 11.57, 15.8, 7.8, 69.7, 83, 60, 163.64, 0
2021-11-19, 13.12, 16.4, 10.8, 84.09, 94, 66, 211.62, 0
2021-11-20, 10.47, 15.5, 7.0, 78.39, 94, 46, 162.54, 0
2021-11-21, 10.71, 13.1, 8.6, 73.22, 92, 59, 228.11, 0
2021-11-22, 3.19, 6.8, -0.4, 63.04, 88, 48, 136.2, 0
2021-11-23, -0.55, 2.0, -3.5, 60.43, 75, 50, 180.85, 0
2021-11-24, 3.76, 8.9, -2.5, 63.43, 71, 58, 195.07, 0
2021-11-25, 6.0, 9.8, 3.1, 55.87, 81, 34, 208.74, 0
2021-11-26, 2.93, 7.1, -0.4, 56.61, 70, 37, 140.59, 0
2021-11-27, 3.36, 9.9, -1.3, 53.26, 70, 31, 128.02, 0
2021-11-28, 4.93, 12.0, -1.3, 52.61, 73, 29, 240.47, 0
2021-11-29, 7.54, 13.3, 2.6, 59.78, 71, 49, 173.75, 0
2021-11-30, 6.22, 8.6, 1.1, 81.87, 99, 65, 206.55, 0
2021-12-01, -1.07, 1.4, -2.8, 51.09, 60, 40, 165.41, 0
2021-12-02, 0.92, 4.8, -4.6, 66.52, 82, 50, 249.49, 0
2021-12-03, 2.23, 4.4, -1.4, 53.65, 89, 29, 207.39, 0
2021-12-04, 1.37, 6.8, -2.6, 49.57, 64, 36, 177.58, 0
2021-12-05, 2.94, 9.2, -2.2, 49.04, 62, 33, 189.13, 0
2021-12-06, 5.29, 11.9, -0.7, 59.87, 73, 39, 193.36, 0
2021-12-07, 7.02, 13.0, 2.6, 66.91, 82, 46, 174.32, 0
2021-12-08, 6.83, 13.2, 2.1, 69.74, 91, 45, 189.07, 0
2021-12-09, 6.26, 9.6, 2.8, 70.17, 84, 59, 214.47, 0
2021-12-10, 7.17, 8.2, 5.9, 80.09, 94, 68, 189.12, 0
2021-12-11, 6.01, 9.3, 4.5, 83.96, 95, 68, 216.78, 0
2021-12-12, 1.72, 4.8, -3.5, 63.74, 88, 37, 190.63, 0
2021-12-13, -2.34, 1.7, -5.8, 43.43, 53, 28, 221.78, 0
2021-12-14, 3.4, 8.1, -0.3, 62.13, 91, 48, 158.52, 0
2021-12-15, 7.29, 9.6, 5.5, 85.52, 98, 67, 196.41, 0
2021-12-16, 6.5, 9.7, 4.2, 71.74, 89, 38, 241.17, 0
2021-12-17, -4.82, 2.6, -9.9, 50.04, 67, 35, 220.05, 0
2021-12-18, -6.23, -1.9, -11.1, 60.43, 93, 34, 209.85, 0
2021-12-19, -0.79, 4.0, -5.7, 64.22, 99, 40, 188.84, 0
2021-12-20, 4.9, 11.0, -0.6, 76.17, 88, 58, 181.53, 0
2021-12-21, 5.68, 8.5, 1.5, 73.39, 98, 37, 213.03, 0
2021-12-22, 2.2, 8.0, -2.4, 46.35, 59, 31, 180.97, 0
2021-12-23, 2.65, 8.2, -1.4, 54.17, 67, 37, 234.53, 0
2021-12-24, 0.46, 3.2, -6.6, 67.0, 82, 60, 161.44, 0
2021-12-25, -11.36, -8.3, -14.4, 42.3, 49, 31, 151.11, 0
2021-12-26, -12.15, -7.6, -15.4, 42.83, 52, 31, 282.48, 0
2021-12-27, -7.85, -4.0, -12.8, 58.13, 81, 40, 197.52, 0
2021-12-28, -4.27, -0.9, -8.4, 73.83, 90, 58, 193.36, 0
2021-12-29, 0.57, 5.5, -3.8, 73.35, 87, 54, 126.89, 0
2021-12-30, -3.63, 0.2, -6.7, 48.96, 61, 35, 242.87, 0
2021-12-31, -6.53, -4.0, -8.8, 35.22, 42, 27, 196.02, 0
